"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","stamp","id"
"A3EJ44J2ZNRMDA","cs_wg_v6_pilot2","3BF51CHDTVBI8ZF9KIQ2P4PDEO20H3","test","Memory","8",NULL,"8","100","1","23412","[""traffic"",""helicopter"",""keyboard"",""umbrella"",""structure"",""community"",""basket"",""ladder"",""machine"",""wedding"",""bookshelf"",""football"",""stomach"",""doorway""]",,"181000","2017-09-26 20:50:32","6760"
"A2FLOH4DM8A4ZS","cs_wg_v6_pilot2","3AAPLD8UCCIJO8C0IKEC9FRIBZYTH7","test","Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","6","20","1","56029","Structure",,"16000","2017-09-26 20:50:52","6761"
"A3TCFIPOBRZZB3","cs_wg_v6_pilot2","3FDJT1UU74985W2IN9ZBJR1WNDH5KX","test","Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","4","40","0","100435","MACHINE",,"31000","2017-09-26 20:51:13","6762"
"A3TCFIPOBRZZB3","cs_wg_v6_pilot2","3FDJT1UU74985W2IN9ZBJR1WNDH5KX","test","Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","5","40","1","59152","UMBRELLA",,"31000","2017-09-26 20:52:45","6763"
"A2FLOH4DM8A4ZS","cs_wg_v6_pilot2","3AAPLD8UCCIJO8C0IKEC9FRIBZYTH7","test","Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","7","25","1","102683","Doorway",,"26000","2017-09-26 20:53:04","6764"
"A3TCFIPOBRZZB3","cs_wg_v6_pilot2","3FDJT1UU74985W2IN9ZBJR1WNDH5KX","test","Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","6","25","1","69140","machine",,"16000","2017-09-26 20:54:12","6765"
"AD8JNBDMO3NED","cs_wg_v6_pilot2","3GLB5JMZFXWY7NLSCOWFJBXVTDYDGA","test","Most letters in alphabet between word's 4th and 5th letters","4","[25,60,5,40,40,65,90,25,30,0,90,5,65,30]","0","15","1","109293","black",,"26000","2017-09-26 20:54:46","6766"
"AD8JNBDMO3NED","cs_wg_v6_pilot2","3GLB5JMZFXWY7NLSCOWFJBXVTDYDGA","test","Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","1","20","1","8126","structure",,"16000","2017-09-26 20:55:12","6767"
"A3TCFIPOBRZZB3","cs_wg_v6_pilot2","3FDJT1UU74985W2IN9ZBJR1WNDH5KX","test","Most letters in alphabet between word's 4th and 5th letters","4","[25,60,5,40,40,65,90,25,30,0,90,5,65,30]","7","15","1","42134","structure",,"26000","2017-09-26 20:55:23","6768"
"AD8JNBDMO3NED","cs_wg_v6_pilot2","3GLB5JMZFXWY7NLSCOWFJBXVTDYDGA","test","Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","2","25","0","3830","helicopter",,"21000","2017-09-26 20:55:39","6769"
"AD8JNBDMO3NED","cs_wg_v6_pilot2","3GLB5JMZFXWY7NLSCOWFJBXVTDYDGA","test","Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","3","20","0","9521","VAGINA",,"31000","2017-09-26 20:56:21","6770"
"A2FLOH4DM8A4ZS","cs_wg_v6_pilot2","3AAPLD8UCCIJO8C0IKEC9FRIBZYTH7","test","Memory","8",NULL,"8","100","1","17531","[""Doorway"",""Wedding"",""Football"",""Structure"",""Machine"","""","""","""","""","""","""","""","""",""""]",,"181000","2017-09-26 20:56:24","6771"
"AD8JNBDMO3NED","cs_wg_v6_pilot2","3GLB5JMZFXWY7NLSCOWFJBXVTDYDGA","test","Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","4","20","0","4275","MONEY",,"26000","2017-09-26 20:56:54","6772"
"A2KJFH8QSCARQA","cs_wg_v6_pilot2","32SVAV9L3FAZF46SXZYTAG0G45W3AQ","test","Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","0","60","0","35309","machine","wedding
machine
helicop","31000","2017-09-26 20:57:15","6773"
"AD8JNBDMO3NED","cs_wg_v6_pilot2","3GLB5JMZFXWY7NLSCOWFJBXVTDYDGA","test","Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","5","25","0","4157","TOOTHPICK",,"21000","2017-09-26 20:57:21","6774"
"AD8JNBDMO3NED","cs_wg_v6_pilot2","3GLB5JMZFXWY7NLSCOWFJBXVTDYDGA","test","Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","6","30","0","1697","ALEX",,"16000","2017-09-26 20:57:41","6775"
