Subj,Trial,OptionID,Choice,MFval,MBval,nPrevChosen
3,3,9,0,5,8,0
3,3,10,0,2,3,0
3,3,11,0,7,9,0
3,3,12,0,4,13,0
3,3,13,0,5,17,0
3,3,14,0,2,22,0
3,3,15,0,3,21,0
3,3,16,0,2,20,0
3,3,17,0,2,10,0
3,3,18,0,3,7,0
3,3,19,0,5,4,1
3,3,20,0,7,15,0
3,3,21,0,4,14,0
3,3,22,0,6,6,0
3,3,23,0,5,4,0
3,3,24,0,3,5,0
3,3,25,0,7,6,0
3,3,26,0,6,22,0
3,3,27,0,5,16,0
3,3,28,0,2,4,0
3,3,29,1,2,20,0
3,3,30,0,5,18,0
3,3,31,0,7,24,0
3,3,32,0,7,9,0
3,3,33,0,3,14,0
3,4,1,0,3,8,0
3,4,2,0,5,8,0
3,4,3,0,6,6,0
3,4,4,0,2,18,0
3,4,5,0,5,19,1
3,4,6,0,1,15,0
3,4,7,0,3,20,0
3,4,8,0,2,14,0
3,4,9,0,5,9,0
3,4,10,0,2,15,0
3,4,11,0,7,5,0
3,4,12,0,4,8,0
3,4,13,0,5,6,0
3,4,14,0,2,11,0
3,4,15,0,3,23,0
3,4,16,0,2,24,0
3,4,17,0,2,13,0
3,4,18,0,3,11,0
3,4,19,0,5,3,1
3,4,20,0,7,2,0
3,4,21,0,4,5,0
3,4,22,0,6,20,0
3,4,23,0,5,17,0
3,4,24,0,3,5,0
3,4,25,0,7,13,0
3,4,26,0,6,5,0
3,4,27,0,5,5,0
3,4,28,0,2,11,0
3,4,29,1,2,8,1
3,4,30,0,5,8,0
3,4,31,0,7,12,0
3,4,32,0,7,21,0
3,4,33,0,3,14,0
3,5,1,0,3,4,0
3,5,2,0,5,19,0
3,5,3,0,6,20,0
3,5,4,0,2,8,0
3,5,5,0,5,6,1
3,5,6,0,1,18,0
3,5,7,0,3,14,0
3,5,8,0,2,8,0
3,5,9,0,5,18,0
3,5,10,0,2,9,0
3,5,11,0,7,4,0
3,5,12,0,4,12,0
3,5,13,0,5,11,0
3,5,14,0,2,10,0
3,5,15,0,3,15,0
3,5,16,0,2,8,0
3,5,17,0,2,16,0
3,5,18,0,3,13,0
3,5,19,0,5,8,1
3,5,20,0,7,7,0
3,5,21,0,4,24,0
3,5,22,0,6,10,0
3,5,23,0,5,12,0
3,5,24,0,3,15,0
3,5,25,0,7,15,0
3,5,26,0,6,13,0
3,5,27,0,5,3,0
3,5,28,1,2,16,0
3,5,29,0,2,14,2
3,5,30,0,5,10,0
3,5,31,0,7,15,0
3,5,32,0,7,14,0
3,5,33,0,3,4,0
3,6,1,0,3,7,0
3,6,2,0,5,2,0
3,6,3,0,6,13,0
3,6,4,0,2,3,0
3,6,5,0,5,6,1
3,6,6,0,1,4,0
3,6,7,0,3,9,0
3,6,8,0,2,4,0
3,6,9,0,5,8,0
3,6,10,0,2,6,0
3,6,11,0,7,16,0
3,6,12,0,4,11,0
3,6,13,0,5,9,0
3,6,14,0,2,26,0
3,6,15,0,3,9,0
3,6,16,0,2,11,0
3,6,17,0,2,19,0
3,6,18,0,3,8,0
3,6,19,0,5,16,1
3,6,20,0,7,7,0
3,6,21,0,4,22,0
3,6,22,0,6,12,0
3,6,23,1,5,15,0
3,6,24,0,3,14,0
3,6,25,0,7,13,0
3,6,26,0,6,9,0
3,6,27,0,5,11,0
3,6,28,0,2,16,1
3,6,29,0,2,13,2
3,6,30,0,5,8,0
3,6,31,0,7,3,0
3,6,32,0,7,10,0
3,6,33,0,3,12,0
3,7,1,0,3,24,0
3,7,2,0,5,21,0
3,7,3,0,6,4,0
3,7,4,0,2,4,0
3,7,5,0,5,6,1
3,7,6,0,1,13,0
3,7,7,0,3,13,0
3,7,8,0,2,21,0
3,7,9,0,5,13,0
3,7,10,0,2,15,0
3,7,11,0,7,16,0
3,7,12,0,4,0,0
3,7,13,0,5,13,0
3,7,14,0,2,6,0
3,7,15,0,3,9,0
3,7,16,0,2,13,0
3,7,17,0,2,9,0
3,7,18,0,3,20,0
3,7,19,0,5,12,1
3,7,20,0,7,2,0
3,7,21,0,4,18,0
3,7,22,0,6,11,0
3,7,23,0,5,11,1
3,7,24,0,3,13,0
3,7,25,0,7,9,0
3,7,26,0,6,1,0
3,7,27,1,5,24,0
3,7,28,0,2,13,1
3,7,29,0,2,7,2
3,7,30,0,5,2,0
3,7,31,0,7,2,0
3,7,32,0,7,22,0
3,7,33,0,3,16,0
3,8,1,0,3,9,0
3,8,2,0,5,12,0
3,8,3,0,6,13,0
3,8,4,0,2,9,0
3,8,5,0,5,5,1
3,8,6,0,1,5,0
3,8,7,0,3,15,0
3,8,8,0,2,16,0
3,8,9,0,5,12,0
3,8,10,1,2,15,0
3,8,11,0,7,16,0
3,8,12,0,4,9,0
3,8,13,0,5,12,0
3,8,14,0,2,6,0
3,8,15,0,3,16,0
3,8,16,0,2,12,0
3,8,17,0,2,3,0
3,8,18,0,3,22,0
3,8,19,0,5,3,1
