Subj,Trial,OptionID,Choice,MFval,MBval,Choice2
6,1,4,0,0,5,0
6,1,5,0,0,2,0
6,1,6,0,0,8,0
6,1,7,0,1,9,0
6,1,8,0,0,10,0
6,1,9,0,0,4,0
6,1,10,0,1,13,0
6,1,11,0,1,11,0
6,1,12,0,0,6,0
6,1,13,0,1,7,0
6,1,14,0,1,1,0
6,2,1,1,1,13,1
6,2,2,0,0,11,0
6,2,3,0,1,8,0
6,2,4,0,0,4,0
6,2,5,0,0,1,0
6,2,6,0,0,3,0
6,2,7,0,1,14,0
6,2,8,0,0,5,0
6,2,9,0,0,12,0
6,2,10,0,1,10,0
6,2,11,0,1,6,0
6,2,12,0,0,7,0
6,2,13,0,1,2,0
6,2,14,0,1,9,0
6,3,1,0,1,14,13
6,3,2,0,0,2,0
6,3,3,0,1,3,0
6,3,4,0,0,5,0
6,3,5,0,0,4,0
6,3,6,0,0,9,0
6,3,7,0,1,13,0
6,3,8,0,0,1,0
6,3,9,0,0,7,0
6,3,10,0,1,6,0
6,3,11,0,1,11,0
6,3,12,0,0,10,0
6,3,13,1,1,12,0
6,3,14,0,1,8,0
6,4,1,1,1,13,1
6,4,2,0,0,6,0
6,4,3,0,1,1,0
6,4,4,0,0,5,0
6,4,5,0,0,3,0
6,4,6,0,0,7,0
6,4,7,0,1,10,0
6,4,8,0,0,4,0
6,4,9,0,0,2,0
6,4,10,0,1,12,0
6,4,11,0,1,8,0
6,4,12,0,0,9,0
6,4,13,0,1,11,0
6,4,14,0,1,14,0
6,5,1,0,1,9,8
6,5,2,0,0,14,0
6,5,3,0,1,11,0
6,5,4,0,0,6,0
6,5,5,0,0,2,0
6,5,6,0,0,10,0
6,5,7,0,1,4,0
6,5,8,1,0,12,0
6,5,9,0,0,1,0
6,5,10,0,1,3,0
6,5,11,0,1,5,0
6,5,12,0,0,13,0
6,5,13,0,1,7,0
6,5,14,0,1,8,0
6,6,1,0,1,11,13
6,6,2,0,0,7,0
6,6,3,0,1,8,0
6,6,4,0,0,10,0
6,6,5,0,0,3,0
6,6,6,0,0,9,0
6,6,7,0,1,14,0
6,6,8,0,0,12,0
6,6,9,0,0,1,0
6,6,10,0,1,6,0
6,6,11,0,1,2,0
6,6,12,0,0,5,0
6,6,13,1,1,13,0
6,6,14,0,1,4,0
6,7,1,0,1,3,13
6,7,2,0,0,2,0
6,7,3,0,1,9,0
6,7,4,0,0,14,0
6,7,5,0,0,12,0
6,7,6,0,0,1,0
6,7,7,0,1,8,0
6,7,8,0,0,10,0
6,7,9,0,0,13,0
6,7,10,0,1,5,0
6,7,11,0,1,7,0
6,7,12,0,0,11,0
6,7,13,1,1,4,0
6,7,14,0,1,6,0
6,8,1,0,1,11,3
6,8,2,0,0,8,0
6,8,3,1,1,14,0
6,8,4,0,0,5,0
6,8,5,0,0,6,0
6,8,6,0,0,4,0
6,8,7,0,1,7,0
6,8,8,0,0,9,0
6,8,9,0,0,1,0
6,8,10,0,1,13,0
6,8,11,0,1,3,0
6,8,12,0,0,12,0
6,8,13,0,1,10,0
6,8,14,0,1,2,0
7,1,1,1,0,14,1
7,1,2,0,0,3,0
7,1,3,0,0,12,0
7,1,4,0,1,5,0
7,1,5,0,1,2,0
7,1,6,0,1,8,0
7,1,7,0,0,9,0
7,1,8,0,0,10,0
7,1,9,0,0,4,0
7,1,10,0,0,13,0
7,1,11,0,1,11,0
7,1,12,0,1,6,0
7,1,13,0,1,7,0
7,1,14,0,1,1,0
7,2,1,0,0,13,2
7,2,2,1,0,11,0
7,2,3,0,0,8,0
7,2,4,0,1,4,0
7,2,5,0,1,1,0
7,2,6,0,1,3,0
7,2,7,0,0,14,0
7,2,8,0,0,5,0
7,2,9,0,0,12,0
7,2,10,0,0,10,0
7,2,11,0,1,6,0
7,2,12,0,1,7,0
7,2,13,0,1,2,0
7,2,14,0,1,9,0
7,3,1,0,0,14,11
7,3,2,0,0,2,0
7,3,3,0,0,3,0
7,3,4,0,1,5,0
7,3,5,0,1,4,0
7,3,6,0,1,9,0
7,3,7,0,0,13,0
7,3,8,0,0,1,0
7,3,9,0,0,7,0
7,3,10,0,0,6,0
7,3,11,1,1,11,0
7,3,12,0,1,10,0
7,3,13,0,1,12,0
7,3,14,0,1,8,0
7,4,1,0,0,13,13
7,4,2,0,0,6,0
7,4,3,0,0,1,0
7,4,4,0,1,5,0
7,4,5,0,1,3,0
7,4,6,0,1,7,0
7,4,7,0,0,10,0
7,4,8,0,0,4,0
7,4,9,0,0,2,0
7,4,10,0,0,12,0
7,4,11,0,1,8,0
7,4,12,0,1,9,0
7,4,13,1,1,11,0
7,4,14,0,1,14,0
7,5,1,0,0,9,8
7,5,2,0,0,14,0
7,5,3,0,0,11,0
7,5,4,0,1,6,0
7,5,5,0,1,2,0
7,5,6,0,1,10,0
7,5,7,0,0,4,0
7,5,8,1,0,12,0
7,5,9,0,0,1,0
7,5,10,0,0,3,0
7,5,11,0,1,5,0
7,5,12,0,1,13,0
7,5,13,0,1,7,0
7,5,14,0,1,8,0
7,6,1,0,0,11,13
7,6,2,0,0,7,0
7,6,3,0,0,8,0
7,6,4,0,1,10,0
7,6,5,0,1,3,0
7,6,6,0,1,9,0
7,6,7,0,0,14,0
7,6,8,0,0,12,0
7,6,9,0,0,1,0
7,6,10,0,0,6,0
7,6,11,0,1,2,0
7,6,12,0,1,5,0
7,6,13,1,1,13,0
7,6,14,0,1,4,0
7,7,1,0,0,3,4
7,7,2,0,0,2,0
7,7,3,0,0,9,0
7,7,4,1,1,14,0
7,7,5,0,1,12,0
7,7,6,0,1,1,0
7,7,7,0,0,8,0
7,7,8,0,0,10,0
7,7,9,0,0,13,0
7,7,10,0,0,5,0
7,7,11,0,1,7,0
7,7,12,0,1,11,0
7,7,13,0,1,4,0
7,7,14,0,1,6,0
7,8,1,0,0,11,12
7,8,2,0,0,8,0
7,8,3,0,0,14,0
7,8,4,0,1,5,0
7,8,5,0,1,6,0
7,8,6,0,1,4,0
7,8,7,0,0,7,0
7,8,8,0,0,9,0
7,8,9,0,0,1,0
